key,de-DE,R,en-US,R,da-DK,R,fi-FI,R,sv-SE,R,fr-FR,R,it-IT,R,es-ES,R
custom.data.type.gazetteer.name.caster.name,Feld mit Gazetteer ID,FALSE,Field with Gazetteer ID,FALSE,Field with Gazetteer ID,FALSE,"Kenttä, jossa on tunnus Gazetteeriin",FALSE,Fält med ID till Gazetteer,FALSE,Champ avec ID de répertoire géographique (Gazetteer),FALSE,Field with Gazetteer ID,FALSE,Field with Gazetteer ID,FALSE
custom.data.type.gazetteer.preview.button|icon,fa-map-o,FALSE,fa-map-o,FALSE,fa-map-o,FALSE,fa-map-o,FALSE,fa-map-o,FALSE,fa-map-o,FALSE,fa-map-o,FALSE,fa-map-o,FALSE
custom.data.type.gazetteer.preview.button|text,In Karte anzeigen,FALSE,View on map,FALSE,View on map,FALSE,Näytä kartalla,FALSE,Visa på karta,FALSE,Voir sur la carte,FALSE,View in map,FALSE,View in map,FALSE
custom.data.type.gazetteer.preview.empty-label,Keine Vorschau verfügbar,FALSE,No preview available.,FALSE,No preview available.,FALSE,Esikatselu ei ole saatavilla.,FALSE,Ingen förhandsvisning tillgänglig.,FALSE,Aucun aperçu disponible.,FALSE,No preview available.,FALSE,No preview available.,FALSE
custom.data.type.gazetteer.preview.id-not-found,ID existiert nicht,FALSE,ID doesn't exist,FALSE,ID doesn't exist,FALSE,Tunnusta ei ole,FALSE,ID finns inte,FALSE,L'ID n'existe pas,FALSE,ID doesn't exist,FALSE,ID doesn't exist,FALSE
custom.data.type.gazetteer.preview.label,Vorschau,FALSE,Preview,FALSE,Preview,FALSE,Esikatselu,FALSE,Förhandsvisning,FALSE,Aperçu,FALSE,Preview,FALSE,Preview,FALSE
custom.data.type.gazetteer.search.label,Suche,FALSE,Search,FALSE,Search,FALSE,Haku,FALSE,Sök,FALSE,Recherche,FALSE,Search,FALSE,Search,FALSE
custom.data.type.gazetteer.search.no-results|text,Keine Ergebnisse gefunden,FALSE,No results found,FALSE,No results found,FALSE,Tuloksia ei löytynyt,FALSE,Inga resultat funna,FALSE,Aucun résultat trouvé,FALSE,No results found,FALSE,No results found,FALSE
custom.data.type.gazetteer.search.placeholder,Suche nach einem Ort mit Name oder ID,FALSE,Search a place by name or ID,FALSE,Search a place by name or ID,FALSE,Hae paikkaa nimellä tai tunnuksella,FALSE,Sök efter en plats med namn eller ID,FALSE,Rechercher un lieu par nom ou identifiant,FALSE,Search a place by name or ID,FALSE,Search a place by name or ID,FALSE
custom.data.type.gazetteer.search.result.md,%(gazId)s - %(prefName.title)s,FALSE,%(gazId)s - %(prefName.title)s,FALSE,%(gazId)s - %(prefName.title)s,FALSE,%(gazId)s - %(prefName.title)s,FALSE,%(gazId)s - %(prefName.title)s,FALSE,%(gazId)s - %(prefName.title)s,FALSE,%(gazId)s - %(prefName.title)s,FALSE,%(gazId)s - %(prefName.title)s,FALSE
custom.data.type.gazetteer.types.administrative-unit.text,Verwaltungseinheit,FALSE,Administrative unit,FALSE,Administrative unit,FALSE,Hallintoyksikkö,FALSE,Administrativ enhet,FALSE,Unité administrative,FALSE,Administrative unit,FALSE,Administrative unit,FALSE
custom.data.type.gazetteer.types.archaeological-area.text,Archäologischer Bereich,FALSE,Archaeological Area,FALSE,Archaeological Area,FALSE,Arkeologinen alue,FALSE,Arkeologiskt område,FALSE,Zone archéologique,FALSE,Archaeological Area,FALSE,Archaeological Area,FALSE
custom.data.type.gazetteer.types.archaeological-site.text,Archäologischer Ort,FALSE,Archaeological Site,FALSE,Archaeological Site,FALSE,Arkeologinen kohde,FALSE,Arkeologisk utgrävning,FALSE,Site archéologique,FALSE,Archaeological Site,FALSE,Archaeological Site,FALSE
custom.data.type.gazetteer.types.building-institution.text,Standort/Institution,FALSE,Building institution,FALSE,Building institution,FALSE,Rakennusinstituutio,FALSE,Byggande institution,FALSE,Bâtiment institutionnel,FALSE,Building institution,FALSE,Building institution,FALSE
custom.data.type.gazetteer.types.card.show-less-button,Weniger anzeigen,FALSE,Show less,FALSE,Show less,FALSE,Näytä vähemmän,FALSE,Visa mindre,FALSE,Montrer moins,FALSE,,FALSE,,FALSE
custom.data.type.gazetteer.types.card.show-more-button,Mehr anzeigen,FALSE,Show more,FALSE,Show more,FALSE,Näytä enemmän,FALSE,Visa mera,FALSE,Montrer plus,FALSE,,FALSE,,FALSE
custom.data.type.gazetteer.types.continent.text,Kontinent,FALSE,Continent,FALSE,Continent,FALSE,Maanosa,FALSE,Kontinent,FALSE,Continent,FALSE,Continent,FALSE,Continent,FALSE
custom.data.type.gazetteer.types.hydrography.text,Hydrographie,FALSE,Hydrography,FALSE,Hydrography,FALSE,Hydrografia,FALSE,Sjömätning,FALSE,Hydrographie,FALSE,Hydrography,FALSE,Hydrography,FALSE
custom.data.type.gazetteer.types.landform.text,Landform,FALSE,Landform,FALSE,Landform,FALSE,Maanmuoto,FALSE,Landform,FALSE,Relief,FALSE,Landform,FALSE,Landform,FALSE
custom.data.type.gazetteer.types.latitude_longitude.text,Lat: %(lat)s - Lng: %(lng)s,FALSE,Lat: %(lat)s - Lng: %(lng)s,FALSE,Lat: %(lat)s - Lng: %(lng)s,FALSE,Lat: %(lat)s - Long: %(lng)s,FALSE,Lat: %(lat)s - Lng: %(lng)s,FALSE,Lat : %(lat)s - Long : %(lng)s,FALSE,,FALSE,,FALSE
custom.data.type.gazetteer.types.populated-place.text,Bewohnter Ort,FALSE,Populated place,FALSE,Populated place,FALSE,Asutettu paikka,FALSE,Befolkad plats,FALSE,Lieu peuplé,FALSE,Populated place,FALSE,Populated place,FALSE
error.api.gazetteer_insert.object.duplicate,Gazetteer Plugin: Der Gazetteereintrag existiert bereits und kann nicht eingefügt werden.,FALSE,Gazetteer Plugin: The Gazetteer record already exists and can not be inserted.,FALSE,Gazetteer Plugin: The Gazetteer record already exists and can not be inserted.,FALSE,"Paikkatiedot-laajennus: Paikkatiedot-merkintä on jo olemassa, eikä sitä voi lisätä.",FALSE,Gazetteer-plugin: Gazetteer-posten finns redan och kan inte infogas.,FALSE,Plugin Gazetteer : L'enregistrement Gazetteer existe déjà et ne peut pas être inséré.,FALSE,Gazetteer Plugin: The Gazetteer entry already exists and can not be inserted.,FALSE,Gazetteer Plugin: The Gazetteer entry already exists and can not be inserted.,FALSE
error.server.gazetteer_insert.field_to.not_set,"Gazetteer Plugin:

Es wurde kein Zielfeld für generierte Gazetteer-Daten ausgewählt.
Wählen Sie ein Zielfeld in den Gazetteer-Einstellungen der Basiskonfiguration aus.",FALSE,"Gazetteer Plugin:

No target field for generated Gazetteer data selected.
Select a target field in the Gazetteer settings in the base configuration.",FALSE,"Gazetteer Plugin:

No target field for generated Gazetteer data selected.
Select a target field in the Gazetteer settings in the base configuration.",FALSE,"Paikkatiedot-laajennus:

Kohdekenttää luoduille paikkatiedoille ei ole valittu.
Valitse kohdekenttä peruskokoonpanon paikkatietoasetuksista.",FALSE,Gazetteer-plugin:\n\nInget målfält för genererad Gazetteer-data har valts.\nVälj ett målfält i Gazetteer-inställningarna i baskonfigurationen.,FALSE,"Gazetteer Plugin:

Aucun champ cible pour les données de répertoire géographique générées n'est sélectionné.
Sélectionnez un champ cible dans les paramètres du répertoire géographique dans la configuration de base.",FALSE,"Gazetteer Plugin:

No target field for generated Gazetteer data selected.
Select a target field in the Gazetteer settings in the base configuration.",FALSE,"Gazetteer Plugin:

No target field for generated Gazetteer data selected.
Select a target field in the Gazetteer settings in the base configuration.",FALSE
